#Sent triggers per frequency: 10000
#Frequency [Hz]	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
930233	10000	0	0	0	0	0	0	0	0	0	0	1
930233	10000	0	0	0	0	0	0	0	0	0	0	1
952381	9997	0.030009	0	3	3	0	0	0	3	0	0	4
952381	9998	0.020004	0	2	2	0	0	0	2	0	0	3
952381	9996	0.040016	0	4	4	0	0	0	4	0	0	5
975610	9990	0.1001	0	10	10	0	0	0	10	0	0	11
975610	9994	0.060036	0	6	6	0	0	0	6	0	0	7
event number: 218, expected: 25
1e+06	9454	5.77533	2.42226	546	317	0	8	0	306	1	2	315
event number: 90, expected: 25
event number: 186, expected: 25
1e+06	9437	5.96588	2.58557	563	319	0	7	0	310	2	0	318
1.02564e+06	9931	0.694794	0.0704864	69	62	0	0	0	62	0	0	63
