#Sent triggers per gain and bias: 50000	and with a frequency [Hz] of: 100000
#Gain	bias	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
3	11	G	100000	0	100	99.797	50000	203	0	0	0	0	0	203	0
3	11	A	100000	0	100	100	50000	0	0	0	0	0	0	0	0
3	11	B	100000	0	100	99.594	50000	203	0	0	0	0	0	203	0
2	40	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	40	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	40	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	39	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	39	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	39	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	38	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	38	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	38	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	37	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	37	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	37	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	36	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	36	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	36	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	35	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	35	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	35	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	34	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	34	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	34	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	33	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	33	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	33	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	32	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	32	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	32	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	31	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	31	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	31	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	30	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	30	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	30	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	29	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	29	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	29	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	28	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	28	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	28	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	27	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	27	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	27	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	26	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	26	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	26	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	25	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	25	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	25	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	24	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	24	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	24	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	23	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	23	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	23	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	22	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	22	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	22	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	21	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	21	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	21	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	20	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	20	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	20	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	19	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	19	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	19	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	18	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	18	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	18	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	17	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
2	17	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	17	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
2	16	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
