#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 100000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	425	99.575	77.367	99575	17660	109	0	0	16672	369	510	17188
0	0	A	40000	686	99.314	98.177	99314	1137	80	0	0	227	337	493	686
0	0	B	40000	26920	73.08	56.557	73080	16523	29	0	0	16445	32	17	16502
0	0	cSpy was 12 spamed and the readout avoided!
0	1	G	40000	93900	6.1	0.1515	6100	11029	0	0	0	285	10744	0	11031
0	1	A	40000	94404	5.596	0.081	5596	5515	0	0	0	143	5372	0	5516
0	1	B	40000	94264	5.736	0.222	5736	5514	0	0	0	142	5372	0	5515
0	2	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
0	2	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
0	2	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
0	3	G	40000	99927	0.0729978	0.073	73	0	0	0	0	0	0	0	2
0	3	A	40000	99927	0.0729978	0.073	73	0	0	0	0	0	0	0	1
0	3	B	40000	99927	0.0729978	0.073	73	0	0	0	0	0	0	0	1
0	4	G	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	2
0	4	A	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	1
0	4	B	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	1
0	5	G	40000	95964	4.036	0.118	4036	7658	0	0	0	68	7590	0	7660
0	5	A	40000	96070	3.93	0.101	3930	3829	0	0	0	34	3795	0	3830
0	5	B	40000	96036	3.964	0.135	3964	3829	0	0	0	34	3795	0	3830
0	6	G	40000	11519	88.481	44.5545	88481	52554	27	0	0	39910	12546	71	52507
0	6	A	40000	37685	62.315	29.727	62315	32588	3	0	0	22964	9569	52	32562
0	6	B	40000	20652	79.348	59.382	79348	19966	24	0	0	16946	2977	19	19945
0	7	G	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	2
0	7	A	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	1
0	7	B	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	1
1	0	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
1	0	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	0	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	1	G	40000	99928	0.0720024	0.072	72	0	0	0	0	0	0	0	2
1	1	A	40000	99928	0.0720024	0.072	72	0	0	0	0	0	0	0	1
1	1	B	40000	99928	0.0720024	0.072	72	0	0	0	0	0	0	0	1
1	2	G	40000	99914	0.0859976	0.086	86	0	0	0	0	0	0	0	2
1	2	A	40000	99914	0.0859976	0.086	86	0	0	0	0	0	0	0	1
1	2	B	40000	99914	0.0859976	0.086	86	0	0	0	0	0	0	0	1
1	3	G	40000	99925	0.0750005	0.075	75	0	0	0	0	0	0	0	2
1	3	A	40000	99925	0.0750005	0.075	75	0	0	0	0	0	0	0	1
1	3	B	40000	99925	0.0750005	0.075	75	0	0	0	0	0	0	0	1
1	4	G	40000	58118	41.882	11.923	41882	58036	0	0	0	30274	27673	89	58031
1	4	A	40000	59016	40.984	11.89	40984	29094	0	0	0	15184	13821	89	29088
1	4	B	40000	59102	40.898	11.956	40898	28942	0	0	0	15090	13852	0	28943
1	5	G	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	2
1	5	A	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	1
1	5	B	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	1
1	6	G	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	2
1	6	A	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	1
1	6	B	40000	99915	0.0850022	0.085	85	0	0	0	0	0	0	0	1
1	7	G	40000	99909	0.0909984	0.091	91	0	0	0	0	0	0	0	2
1	7	A	40000	99909	0.0909984	0.091	91	0	0	0	0	0	0	0	1
1	7	B	40000	99909	0.0909984	0.091	91	0	0	0	0	0	0	0	1
2	0	G	40000	1677	98.323	50.0965	98323	5471	32	0	0	5176	201	62	5406
2	0	A	40000	1757	98.243	96.432	98243	1811	32	0	0	1516	201	62	1746
2	0	B	40000	92579	7.421	3.761	7421	3660	0	0	0	3660	0	0	3660
2	0	cSpy was 1 spamed and the readout avoided!
2	1	G	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	2
2	1	A	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	1
2	1	B	40000	99916	0.0840008	0.084	84	0	0	0	0	0	0	0	1
2	2	G	40000	74786	25.214	1.512	25214	27913	0	0	0	7377	20536	0	27914
2	2	A	40000	85917	14.083	0.109	14083	13974	0	0	0	3702	10272	0	13974
2	2	B	40000	83146	16.854	2.915	16854	13939	0	0	0	3675	10264	0	13940
2	3	G	40000	99923	0.0769973	0.077	77	0	0	0	0	0	0	0	2
2	3	A	40000	99923	0.0769973	0.077	77	0	0	0	0	0	0	0	1
2	3	B	40000	99923	0.0769973	0.077	77	0	0	0	0	0	0	0	1
2	4	G	40000	99918	0.0819981	0.082	82	0	0	0	0	0	0	0	2
2	4	A	40000	99918	0.0819981	0.082	82	0	0	0	0	0	0	0	1
2	4	B	40000	99918	0.0819981	0.082	82	0	0	0	0	0	0	0	1
2	5	G	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	2
2	5	A	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	1
2	5	B	40000	99920	0.0800014	0.08	80	0	0	0	0	0	0	0	1
2	6	G	40000	95466	4.534	0.113	4534	8402	0	0	0	202	8200	0	8404
2	6	A	40000	95717	4.283	0.082	4283	4201	0	0	0	101	4100	0	4202
2	6	B	40000	95655	4.345	0.144	4345	4201	0	0	0	101	4100	0	4202
2	7	G	40000	15195	84.805	45.8415	84805	45527	193	12	0	33643	11455	224	45280
2	7	A	40000	37936	62.064	35.487	62064	26577	45	0	0	19445	6983	104	26489
