#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 1000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	13	98.7	94.9	987	53	4	1	0	30	14	4	48
0	0	A	40000	30	97	93.4	970	36	4	1	0	21	6	4	30
0	0	B	40000	19	98.1	96.4	981	17	0	0	0	9	8	0	18
0	0	cSpy was 1 spamed and the readout avoided!
0	1	G	40000	409	59.1	40.15	591	346	0	0	0	338	0	8	345
0	1	A	40000	424	57.6	40.1	576	175	0	0	0	168	0	7	174
0	1	B	40000	427	57.3	40.2	573	171	0	0	0	170	0	1	171
0	2	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	2	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	2	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	3	G	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	2
0	3	A	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
0	3	B	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
0	4	G	40000	22	97.8	84.7	978	155	8	0	1	31	104	11	141
0	4	A	40000	125	87.5	75.7	875	118	2	0	0	24	90	2	115
0	4	B	40000	26	97.4	93.7	974	37	6	0	1	7	14	9	26
0	4	cSpy was 6 spamed and the readout avoided!
0	5	G	40000	414	58.6	38.65	586	340	0	0	0	337	0	3	342
0	5	A	40000	444	55.6	38.5	556	171	0	0	0	168	0	3	172
0	5	B	40000	443	55.7	38.8	557	169	0	0	0	169	0	0	170
0	6	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	6	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	6	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	7	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	7	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	7	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	0	G	40000	11	98.9	61.45	989	181	0	0	0	176	5	0	182
1	0	A	40000	13	98.7	97.5	987	12	0	0	0	8	4	0	13
1	0	B	40000	577	42.3	25.4	423	169	0	0	0	168	1	0	169
1	1	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
1	1	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	1	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	2	G	40000	205	79.5	49.4	795	367	0	0	0	325	38	4	367
1	2	A	40000	340	66	46.8	660	192	0	0	0	170	19	3	192
1	2	B	40000	305	69.5	52	695	175	0	0	0	155	19	1	175
1	3	G	40000	3	99.7	95.85	997	47	6	0	0	20	5	16	35
1	3	A	40000	28	97.2	94.3	972	29	0	0	0	17	4	8	27
1	3	B	40000	8	99.2	97.4	992	18	6	0	0	3	1	8	8
1	3	cSpy was 33 spamed and the readout avoided!
1	4	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
1	4	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	4	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	5	G	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	2
1	5	A	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
1	5	B	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
1	6	G	40000	969	3.1	0.35	31	54	0	0	0	52	2	0	56
1	6	A	40000	970	3	0.3	30	27	0	0	0	26	1	0	28
1	6	B	40000	969	3.1	0.4	31	27	0	0	0	26	1	0	28
1	7	G	40000	4	99.6	96.75	996	38	6	0	0	8	12	12	27
1	7	A	40000	8	99.2	97.8	992	14	1	0	0	1	3	9	8
1	7	B	40000	19	98.1	95.7	981	24	5	0	0	7	9	3	19
1	7	cSpy was 1 spamed and the readout avoided!
2	0	G	40000	6	99.4	57.35	994	167	0	0	0	157	6	4	164
2	0	A	40000	6	99.4	98.4	994	10	0	0	0	2	4	4	6
2	0	B	40000	680	32	16.3	320	157	0	0	0	155	2	0	158
2	0	cSpy was 97 spamed and the readout avoided!
2	1	G	40000	3	99.7	98.65	997	17	1	0	0	3	1	12	10
2	1	A	40000	4	99.6	98.8	996	8	0	0	0	0	1	7	4
2	1	B	40000	6	99.4	98.5	994	9	1	0	0	3	0	5	6
2	1	cSpy was 4 spamed and the readout avoided!
2	2	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
2	2	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	2	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	3	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
2	3	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	3	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	4	G	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	2
2	4	A	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
2	4	B	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
2	5	G	40000	0	100	99.55	1000	8	0	0	0	1	0	7	1
2	5	A	40000	0	100	99.8	1000	2	0	0	0	0	0	2	0
2	5	B	40000	1	99.9	99.3	999	6	0	0	0	1	0	5	1
2	6	G	40000	997	0.300002	0.3	3	0	0	0	0	0	0	0	2
2	6	A	40000	997	0.300002	0.3	3	0	0	0	0	0	0	0	1
2	6	B	40000	997	0.300002	0.3	3	0	0	0	0	0	0	0	1
2	7	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
2	7	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	7	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	0	G	40000	8	99.2	52.95	992	116	3	0	0	79	29	5	111
3	0	A	40000	8	99.2	97.9	992	13	3	0	0	3	2	5	8
3	0	B	40000	817	18.3	8	183	103	0	0	0	76	27	0	103
3	0	cSpy was 1 spamed and the readout avoided!
3	1	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
3	1	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	1	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	2	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
3	2	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	2	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	3	G	40000	47	95.3	81.5	953	184	0	0	0	159	14	11	176
3	3	A	40000	87	91.3	82.5	913	88	0	0	0	74	6	8	81
3	3	B	40000	99	90.1	80.5	901	96	0	0	0	85	8	3	95
3	4	G	40000	17	98.3	95.9	983	43	0	0	0	35	4	4	39
3	4	A	40000	19	98.1	96	981	21	0	0	0	17	2	2	19
3	4	B	40000	20	98	95.8	980	22	0	0	0	18	2	2	20
3	5	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
3	5	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	5	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	6	G	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	2
3	6	A	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
3	6	B	40000	999	0.0999987	0.1	1	0	0	0	0	0	0	0	1
3	7	G	40000	979	2.1	0	21	42	0	0	0	42	0	0	44
3	7	A	40000	979	2.1	0	21	21	0	0	0	21	0	0	22
3	7	B	40000	979	2.1	0	21	21	0	0	0	21	0	0	22
4	0	G	40000	4	99.6	59.2	996	233	2	0	0	156	68	7	230
4	0	A	40000	7	99.3	98.2	993	11	2	0	0	1	1	7	7
4	0	B	40000	576	42.4	20.2	424	222	0	0	0	155	67	0	223
