#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 100000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	0	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	0	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	87882	12.118	5.7545	12118	11874	8	3	0	11837	17	9	11871
0	2	A	40000	88356	11.644	5.764	11644	5880	0	1	0	5879	0	0	5881
0	2	B	40000	88261	11.739	5.745	11739	5994	8	2	0	5958	17	9	5990
0	2	cSpy was 2 spamed and the readout avoided!
0	3	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	3	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	3	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	78173	21.827	8.629	21827	19637	4	0	0	19437	177	19	19634
0	6	A	40000	81873	18.127	8.26	18127	9867	2	0	0	9757	89	19	9863
0	6	B	40000	81232	18.768	8.998	18768	9770	2	0	0	9680	88	0	9771
0	7	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	7	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	7	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	0	G	40000	96115	3.885	0.572	3885	5199	0	0	0	5132	62	5	5200
1	0	A	40000	96569	3.431	0.709	3431	2722	0	0	0	2716	1	5	2722
1	0	B	40000	97088	2.912	0.435	2912	2477	0	0	0	2416	61	0	2478
1	1	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	1	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	1	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	2	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	2	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	2	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	99993	0.00699759	0	7	14	0	0	0	14	0	0	16
1	4	A	40000	99993	0.00699759	0	7	7	0	0	0	7	0	0	8
1	4	B	40000	99993	0.00699759	0	7	7	0	0	0	7	0	0	8
1	5	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	5	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	5	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	6	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	6	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	6	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	7	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	7	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	7	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
2	0	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
2	0	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
