#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	11	99.89	87.33	9989	948	3	0	0	906	29	10	941
0	0	A	40000	22	99.78	99.52	9978	26	0	0	0	10	9	7	21
0	0	B	40000	1564	84.36	75.14	8436	922	3	0	0	896	20	3	920
0	0	cSpy was 11 spamed and the readout avoided!
0	1	G	40000	9870	1.3	0	130	260	0	0	0	260	0	0	262
0	1	A	40000	9870	1.3	0	130	130	0	0	0	130	0	0	131
0	1	B	40000	9870	1.3	0	130	130	0	0	0	130	0	0	131
0	2	G	40000	9773	2.27	0	227	454	0	0	0	454	0	0	456
0	2	A	40000	9773	2.27	0	227	227	0	0	0	227	0	0	228
0	2	B	40000	9773	2.27	0	227	227	0	0	0	227	0	0	228
0	3	G	40000	0	100	99.315	10000	94	12	0	0	17	6	59	43
0	3	A	40000	0	100	100	10000	0	0	0	0	0	0	0	0
0	3	B	40000	43	99.57	98.63	9957	94	12	0	0	17	6	59	43
0	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	9984	0.160003	0	16	32	0	0	0	32	0	0	34
0	6	A	40000	9984	0.160003	0	16	16	0	0	0	16	0	0	17
0	6	B	40000	9984	0.160003	0	16	16	0	0	0	16	0	0	17
0	7	G	40000	893	91.07	77.94	9107	2222	108	0	0	1901	57	156	2048
0	7	A	40000	1002	89.98	79.66	8998	1032	54	0	0	854	25	99	928
0	7	B	40000	1188	88.12	76.22	8812	1190	54	0	0	1047	32	57	1120
0	7	cSpy was 6 spamed and the readout avoided!
1	0	G	40000	12	99.88	50.445	9988	290	0	0	0	288	0	2	291
1	0	A	40000	12	99.88	99.77	9988	11	0	0	0	9	0	2	11
1	0	B	40000	9609	3.91	1.12	391	279	0	0	0	279	0	0	280
1	1	G	40000	1062	89.38	72.985	8938	2698	119	0	0	2371	59	149	2509
1	1	A	40000	1225	87.75	75.17	8775	1258	59	0	0	1074	25	100	1136
1	1	B	40000	1480	85.2	70.8	8520	1440	60	0	0	1297	34	49	1373
1	1	cSpy was 6 spamed and the readout avoided!
1	2	G	40000	800	92	91.915	9200	11	0	0	0	6	0	5	8
1	2	A	40000	806	91.94	91.88	9194	6	0	0	0	6	0	0	7
1	2	B	40000	800	92	91.95	9200	5	0	0	0	0	0	5	1
1	2	cSpy was 2 spamed and the readout avoided!
1	3	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	5	G	40000	1463	85.37	53.85	8537	4235	87	0	0	3902	120	126	4107
1	5	A	40000	2305	76.95	57.37	7695	1958	38	0	0	1778	65	77	1887
1	5	B	40000	2690	73.1	50.33	7310	2277	49	0	0	2124	55	49	2220
1	5	cSpy was 5 spamed and the readout avoided!
1	6	G	40000	0	100	99.345	10000	67	0	0	0	47	14	6	62
1	6	A	40000	0	100	100	10000	0	0	0	0	0	0	0	0
1	6	B	40000	64	99.36	98.69	9936	67	0	0	0	47	14	6	62
1	7	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	7	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	7	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	0	G	40000	38	99.62	78.215	9962	1305	8	1	0	1193	89	14	1298
2	0	A	40000	57	99.43	98.82	9943	61	3	0	0	42	12	4	57
2	0	B	40000	2995	70.05	57.61	7005	1244	5	1	0	1151	77	10	1241
2	0	cSpy was 2 spamed and the readout avoided!
