#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
3	0	A	40000	1248	98.752	97.202	98752	1550	104	0	0	1062	14	370	1224
3	0	B	40000	91895	8.105	2.361	8105	5744	0	0	0	2982	2762	0	5745
3	0	cSpy was 18 spamed and the readout avoided!
3	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
3	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	2	G	40000	80930	19.07	9.7325	19070	15545	0	0	0	15353	118	74	15525
3	2	A	40000	82323	17.677	9.967	17677	7710	0	0	0	7636	0	74	7689
3	2	B	40000	82667	17.333	9.498	17333	7835	0	0	0	7717	118	0	7836
3	3	G	40000	93	99.907	99.078	99907	1126	54	0	0	467	86	519	708
3	3	A	40000	444	99.556	98.751	99556	805	48	0	0	232	75	450	436
3	3	B	40000	274	99.726	99.405	99726	321	6	0	0	235	11	69	272
3	3	cSpy was 2 spamed and the readout avoided!
3	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
3	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
3	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
3	6	G	40000	97554	2.446	0.273	2446	4309	0	0	0	4291	15	3	4311
3	6	A	40000	97565	2.435	0.281	2435	2154	0	0	0	2151	0	3	2155
3	6	B	40000	97580	2.42	0.265	2420	2155	0	0	0	2140	15	0	2156
3	7	G	40000	0	100	99.7915	100000	356	0	0	0	44	8	304	61
3	7	A	40000	10	99.99	99.911	99990	79	0	0	0	1	1	77	10
3	7	B	40000	51	99.949	99.672	99949	277	0	0	0	43	7	227	51
3	7	cSpy was 83 spamed and the readout avoided!
4	0	G	40000	154	99.846	56.5395	99846	20876	2	0	0	15301	5438	135	20779
4	0	A	40000	207	99.793	99.49	99793	303	2	0	0	166	2	133	205
4	0	B	40000	65838	34.162	13.589	34162	20573	0	0	0	15135	5436	2	20574
4	1	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
4	1	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
4	1	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
4	2	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
4	2	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
4	2	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
4	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
4	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
4	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
4	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
4	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
4	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
4	5	G	40000	44505	55.495	27.875	55495	44810	0	0	0	43772	910	128	44782
4	5	A	40000	50321	49.679	26.831	49679	22848	0	0	0	21819	905	124	22820
4	5	B	40000	49119	50.881	28.919	50881	21962	0	0	0	21953	5	4	21962
4	5	cSpy was 9 spamed and the readout avoided!
4	6	G	40000	633	99.367	96.79	99367	3191	19	0	0	2485	44	643	2838
4	6	A	40000	1557	98.443	96.825	98443	1618	1	0	0	996	26	595	1293
4	6	B	40000	1672	98.328	96.755	98328	1573	18	0	0	1489	18	48	1545
4	6	cSpy was 10 spamed and the readout avoided!
4	7	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
4	7	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
4	7	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	0	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
5	0	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
5	0	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
5	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
5	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	2	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
5	2	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	2	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	3	G	40000	80675	19.325	10.014	19325	15513	0	0	0	15355	94	64	15489
5	3	A	40000	82072	17.928	10.244	17928	7684	0	0	0	7620	0	64	7659
5	3	B	40000	82387	17.613	9.784	17613	7829	0	0	0	7735	94	0	7830
5	4	G	40000	52	99.948	99.564	99948	514	20	0	0	244	52	198	356
5	4	A	40000	207	99.793	99.461	99793	332	13	0	0	136	28	155	205
5	4	B	40000	151	99.849	99.667	99849	182	7	0	0	108	24	43	151
5	4	cSpy was 22 spamed and the readout avoided!
5	5	G	40000	69247	30.753	23.565	30753	5867	2	0	0	5187	370	308	5613
5	5	A	40000	69274	30.726	30.396	30726	330	1	0	0	21	0	308	75
5	5	B	40000	77729	22.271	16.734	22271	5537	1	0	0	5166	370	0	5538
5	5	cSpy was 38 spamed and the readout avoided!
5	6	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
5	6	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	6	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
5	7	G	40000	97429	2.571	0.3635	2571	4331	0	0	0	4318	12	1	4333
5	7	A	40000	97461	2.539	0.374	2539	2165	0	0	0	2164	0	1	2166
5	7	B	40000	97481	2.519	0.353	2519	2166	0	0	0	2154	12	0	2167
6	0	G	40000	403	99.597	54.046	99597	14013	8	0	0	10191	3696	118	13922
6	0	A	40000	484	99.516	98.947	99516	569	8	0	0	436	7	118	477
6	0	B	40000	77411	22.589	9.145	22589	13444	0	0	0	9755	3689	0	13445
6	1	G	40000	99998	0.00200272	0	2	4	0	0	0	4	0	0	6
6	1	A	40000	99998	0.00200272	0	2	2	0	0	0	2	0	0	3
6	1	B	40000	99998	0.00200272	0	2	2	0	0	0	2	0	0	3
6	2	G	40000	13409	86.591	63.649	86591	30088	67	2	0	28113	1289	617	29780
6	2	A	40000	19366	80.634	66.781	80634	13853	6	0	0	12399	871	577	13591
6	2	B	40000	23248	76.752	60.517	76752	16235	61	2	0	15714	418	40	16189
6	2	cSpy was 2 spamed and the readout avoided!
6	3	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
6	3	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
6	3	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
6	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
6	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
6	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
6	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
6	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
6	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
6	6	G	40000	49300	50.7	23.5165	50700	44551	0	0	0	43594	877	80	44547
6	6	A	40000	54821	45.179	22.491	45179	22688	0	0	0	21775	834	79	22683
6	6	B	40000	53595	46.405	24.542	46405	21863	0	0	0	21819	43	1	21864
6	6	cSpy was 12 spamed and the readout avoided!
6	7	G	40000	176	99.824	81.1565	99824	17548	30	0	0	14803	1842	873	16885
