#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	677	99.323	90.7295	99323	9228	222	17	0	7877	805	307	8873
0	0	A	40000	1427	98.573	96.896	98573	1677	93	0	0	1055	269	260	1422
0	0	B	40000	7886	92.114	84.563	92114	7551	129	17	0	6822	536	47	7451
0	0	cSpy was 28 spamed and the readout avoided!
0	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	99749	0.251001	0.019	251	464	0	0	0	258	206	0	466
0	2	A	40000	99749	0.251001	0.019	251	232	0	0	0	129	103	0	233
0	2	B	40000	99749	0.251001	0.019	251	232	0	0	0	129	103	0	233
0	3	G	40000	70107	29.893	8.8535	29893	28639	0	0	0	10153	18399	87	28636
0	3	A	40000	76676	23.324	9.18	23324	14144	0	0	0	5003	9054	87	14140
0	3	B	40000	76978	23.022	8.527	23022	14495	0	0	0	5150	9345	0	14496
0	4	G	40000	15631	84.369	57.889	84369	36558	33	0	0	29717	6652	156	36463
0	4	A	40000	22755	77.245	58.406	77245	18839	15	0	0	15064	3692	68	18802
0	4	B	40000	24909	75.091	57.372	75091	17719	18	0	0	14653	2960	88	17661
0	4	cSpy was 41 spamed and the readout avoided!
0	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	6	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	7	G	40000	81277	18.723	7.232	18723	20910	0	0	0	6153	14682	75	20908
0	7	A	40000	82304	17.696	7.266	17696	10430	0	0	0	3021	7334	75	10427
0	7	B	40000	82322	17.678	7.198	17678	10480	0	0	0	3132	7348	0	10481
1	0	G	40000	896	99.104	57.5645	99104	14230	68	0	0	13535	400	227	14021
1	0	A	40000	1054	98.946	97.682	98946	1264	68	0	0	590	380	226	1054
1	0	B	40000	69587	30.413	17.447	30413	12966	0	0	0	12945	20	1	12967
1	0	cSpy was 15 spamed and the readout avoided!
1	1	G	40000	81384	18.616	7.104	18616	21696	0	0	0	7436	14182	78	21693
1	1	A	40000	82043	17.957	7.116	17957	10841	0	0	0	3677	7087	77	10837
1	1	B	40000	82053	17.947	7.092	17947	10855	0	0	0	3759	7095	1	10856
1	2	G	40000	3663	96.337	87.2055	96337	12777	285	17	0	10066	1848	561	12256
1	2	A	40000	6715	93.285	86.544	93285	6741	153	0	0	5036	1100	452	6362
1	2	B	40000	6097	93.903	87.867	93903	6036	132	17	0	5030	748	109	5894
1	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	5	G	40000	89204	10.796	2.219	10796	17149	0	0	0	10392	6739	18	17147
