#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 1000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	11	98.9	54.75	989	115	1	0	0	106	5	3	112
0	0	A	40000	12	98.8	97.2	988	16	1	0	0	7	5	3	12
0	0	B	40000	778	22.2	12.3	222	99	0	0	0	99	0	0	100
0	0	cSpy was 1 spamed and the readout avoided!
0	1	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	0	100	100	1000	2000	2000	2000	2000	2000	2000	2000	2002
0	2	A	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
0	2	B	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
0	3	G	40000	6	99.4	96.3	994	39	0	0	0	22	9	8	33
0	3	A	40000	18	98.2	96.3	982	19	0	0	0	9	5	5	16
0	3	B	40000	17	98.3	96.3	983	20	0	0	0	13	4	3	17
0	4	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	564	43.6	23.6	436	347	0	0	0	345	0	2	346
0	6	A	40000	587	41.3	23.8	413	175	0	0	0	173	0	2	174
0	6	B	40000	594	40.6	23.4	406	172	0	0	0	172	0	0	172
0	7	G	40000	0	100	99.7	1000	3	0	0	0	1	1	1	3
0	7	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
0	7	B	40000	3	99.7	99.4	997	3	0	0	0	1	1	1	3
1	0	G	40000	21	97.9	84.5	979	148	2	0	0	141	2	3	145
1	0	A	40000	29	97.1	94	971	31	1	0	0	28	0	2	28
1	0	B	40000	133	86.7	75	867	117	1	0	0	113	2	1	117
1	1	G	40000	129	87.1	55.3	871	419	0	0	0	374	45	0	421
1	1	A	40000	241	75.9	54.2	759	217	0	0	0	199	18	0	218
1	1	B	40000	234	76.6	56.4	766	202	0	0	0	175	27	0	203
1	2	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
1	2	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	2	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	3	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	2	99.8	98.75	998	12	0	0	0	1	10	1	13
1	4	A	40000	6	99.4	98.8	994	6	0	0	0	0	6	0	6
1	4	B	40000	7	99.3	98.7	993	6	0	0	0	1	4	1	7
1	5	G	40000	12	98.8	96.5	988	35	1	0	0	24	6	4	33
1	5	A	40000	15	98.5	96.9	985	16	1	0	0	8	4	3	14
1	5	B	40000	20	98	96.1	980	19	0	0	0	16	2	1	19
1	6	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
1	6	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
1	6	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
1	7	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
1	7	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
1	7	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	0	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	0	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	0	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	1	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	1	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	1	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	2	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	2	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	2	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
2	3	G	40000	0	100	100	1000	2000	2000	2000	2000	2000	2000	2000	2002
2	3	A	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
2	3	B	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
2	4	G	40000	212	78.8	32	788	619	0	0	0	452	166	1	618
2	4	A	40000	374	62.6	32.4	626	302	0	0	0	240	61	1	301
2	4	B	40000	367	63.3	31.6	633	317	0	0	0	212	105	0	317
2	5	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
2	5	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	5	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	6	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
2	6	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	6	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
2	7	G	40000	9	99.1	96.8	991	33	2	1	0	9	17	4	31
2	7	A	40000	15	98.5	96.9	985	16	0	1	0	4	11	0	15
2	7	B	40000	16	98.4	96.7	984	17	2	0	0	5	6	4	16
2	7	cSpy was 1 spamed and the readout avoided!
3	0	G	40000	0	100	100	1000	2000	2000	2000	2000	2000	2000	2000	2002
3	0	A	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
3	0	B	40000	0	100	100	1000	1000	1000	1000	1000	1000	1000	1000	1001
3	1	G	40000	935	6.5	1.7	65	96	0	0	0	96	0	0	98
3	1	A	40000	935	6.5	1.7	65	48	0	0	0	48	0	0	49
3	1	B	40000	935	6.5	1.7	65	48	0	0	0	48	0	0	49
3	2	G	40000	2	99.8	99.1	998	10	0	0	0	1	4	5	8
3	2	A	40000	3	99.7	99.1	997	6	0	0	0	1	0	5	3
3	2	B	40000	5	99.5	99.1	995	4	0	0	0	0	4	0	5
3	3	G	40000	0	100	99.45	1000	6	0	0	0	1	3	2	5
3	3	A	40000	1	99.9	99.7	999	2	0	0	0	0	0	2	1
3	3	B	40000	4	99.6	99.2	996	4	0	0	0	1	3	0	4
3	4	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
3	4	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	4	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	5	G	40000	6	99.4	57.85	994	142	0	0	0	137	4	1	142
3	5	A	40000	8	99.2	98.4	992	8	0	0	0	4	4	0	8
3	5	B	40000	693	30.7	17.3	307	134	0	0	0	133	0	1	134
3	6	G	40000	0	100	99.15	1000	11	0	0	0	0	2	9	6
3	6	A	40000	5	99.5	98.4	995	11	0	0	0	0	2	9	5
3	6	B	40000	1	99.9	99.9	999	0	0	0	0	0	0	0	1
3	7	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
3	7	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
3	7	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
4	0	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	0	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	0	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	1	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	1	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	1	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	2	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	2	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	2	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	3	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	3	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	3	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	4	G	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	4	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	4	B	40000	0	100	100	1000	0	0	0	0	0	0	0	0
4	5	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
4	5	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
4	5	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
4	6	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
4	6	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
4	6	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
4	7	G	40000	927	7.3	2.3	73	100	0	0	0	97	2	1	102
4	7	A	40000	927	7.3	2.3	73	50	0	0	0	49	0	1	51
4	7	B	40000	927	7.3	2.3	73	50	0	0	0	48	2	0	51
5	0	G	40000	11	98.9	50.15	989	60	1	0	0	50	2	7	56
5	0	A	40000	12	98.8	97.1	988	17	1	0	0	7	2	7	12
5	0	B	40000	925	7.5	3.2	75	43	0	0	0	43	0	0	44
5	1	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
5	1	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
5	1	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
5	2	G	40000	455	54.5	25.4	545	463	0	0	0	462	0	1	463
5	2	A	40000	515	48.5	25.4	485	231	0	0	0	230	0	1	231
5	2	B	40000	514	48.6	25.4	486	232	0	0	0	232	0	0	232
5	3	G	40000	3	99.7	96.1	997	41	2	1	0	10	18	10	37
5	3	A	40000	34	96.6	92.8	966	38	2	1	0	10	18	7	34
5	3	B	40000	3	99.7	99.4	997	3	0	0	0	0	0	3	3
5	3	cSpy was 1 spamed and the readout avoided!
5	4	G	40000	998	0.199997	0.1	2	2	0	0	0	2	0	0	4
5	4	A	40000	998	0.199997	0.1	2	1	0	0	0	1	0	0	2
5	4	B	40000	998	0.199997	0.1	2	1	0	0	0	1	0	0	2
5	5	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
5	5	A	40000	1000	0	0	0	0	0	0	0	0	0	0	1
5	5	B	40000	1000	0	0	0	0	0	0	0	0	0	0	1
5	6	G	40000	0	100	97.7	1000	23	1	0	0	9	13	0	23
5	6	A	40000	0	100	100	1000	0	0	0	0	0	0	0	0
5	6	B	40000	23	97.7	95.4	977	23	1	0	0	9	13	0	23
5	6	cSpy was 1 spamed and the readout avoided!
5	7	G	40000	0	100	98.35	1000	22	4	0	0	2	4	12	11
5	7	A	40000	2	99.8	98.9	998	9	1	0	0	0	0	8	2
5	7	B	40000	9	99.1	97.8	991	13	3	0	0	2	4	4	9
5	7	cSpy was 2 spamed and the readout avoided!
6	0	G	40000	0	100	96.85	1000	33	1	0	0	7	23	2	30
6	0	A	40000	1	99.9	99.6	999	3	0	0	0	1	0	2	1
6	0	B	40000	29	97.1	94.1	971	30	1	0	0	6	23	0	29
6	1	G	40000	0	100	98.6	1000	19	0	0	0	1	7	11	9
6	1	A	40000	2	99.8	98.8	998	10	0	0	0	0	1	9	2
6	1	B	40000	7	99.3	98.4	993	9	0	0	0	1	6	2	7
6	1	cSpy was 2 spamed and the readout avoided!
6	2	G	40000	1000	0	0	0	0	0	0	0	0	0	0	2
