#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 100000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	88	99.912	98.845	99912	1313	115	0	0	649	217	332	988
0	0	A	40000	759	99.241	98.237	99241	1004	111	0	0	485	178	230	752
0	0	B	40000	238	99.762	99.453	99762	309	4	0	0	164	39	102	236
0	0	cSpy was 47 spamed and the readout avoided!
0	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	2	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	3	G	40000	17183	82.817	50.615	82817	44987	10	4	0	44853	44	76	44947
0	3	A	40000	26793	73.207	50.791	73207	22416	10	4	0	22299	27	76	22375
0	3	B	40000	26990	73.01	50.439	73010	22571	0	0	0	22554	17	0	22572
0	3	cSpy was 6 spamed and the readout avoided!
0	4	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
0	4	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
0	4	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
0	5	G	40000	68448	31.552	29.2945	31552	3465	179	4	1	2507	491	285	3190
0	5	A	40000	68950	31.05	29.31	31050	1740	106	3	0	1358	90	185	1571
0	5	B	40000	68996	31.004	29.279	31004	1725	73	1	1	1149	401	100	1619
0	5	cSpy was 33 spamed and the readout avoided!
0	6	G	40000	98103	1.897	1.087	1897	1620	0	0	0	1620	0	0	1622
0	6	A	40000	98103	1.897	1.087	1897	810	0	0	0	810	0	0	811
0	6	B	40000	98103	1.897	1.087	1897	810	0	0	0	810	0	0	811
0	7	G	40000	25124	74.876	49.901	74876	49950	0	0	0	49950	0	0	49950
0	7	A	40000	25124	74.876	49.901	74876	24975	0	0	0	24975	0	0	24975
0	7	B	40000	25124	74.876	49.901	74876	24975	0	0	0	24975	0	0	24975
1	0	G	40000	1242	98.758	48.7585	98758	1828	37	0	0	1654	69	68	1748
1	0	A	40000	1246	98.754	97.44	98754	1314	37	0	0	1140	69	68	1233
1	0	B	40000	99409	0.590998	0.077	591	514	0	0	0	514	0	0	515
1	1	G	40000	44254	55.746	36.793	55746	37898	0	0	0	36405	0	1493	37895
