#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 1000000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	0	100	100	1000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000002
0	0	A	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	0	B	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	1	G	40000	0	100	100	1000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000002
0	1	A	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	1	B	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	2	G	40000	915982	8.4018	4.8621	84018	43021	127	0	0	40230	2498	166	42863
0	2	A	40000	935463	6.4537	3.8575	64537	25962	0	0	0	24021	1940	1	25963
0	2	B	40000	924274	7.5726	5.8667	75726	17059	127	0	0	16209	558	165	16900
0	2	cSpy was 1 spamed and the readout avoided!
0	3	G	40000	1000000	0	0	0	0	0	0	0	0	0	0	2
0	3	A	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
0	3	B	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
0	4	G	40000	1000000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	0	100	100	1000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000002
0	5	A	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	5	B	40000	0	100	100	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000001
0	6	G	40000	6645	99.3355	97.5063	993355	21688	90	0	0	19067	2202	329	21419
0	6	A	40000	16568	98.3432	97.1512	983432	11920	5	0	0	10501	1340	74	11873
0	6	B	40000	11618	98.8382	97.8614	988382	9768	85	0	0	8566	862	255	9546
0	6	cSpy was 38 spamed and the readout avoided!
0	7	G	40000	1000000	0	0	0	0	0	0	0	0	0	0	2
0	7	A	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
0	7	B	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
1	0	G	40000	2099	99.7901	98.8596	997901	11513	415	10	0	6194	4589	305	11054
1	0	A	40000	4596	99.5404	99.0825	995404	4579	103	6	0	3622	663	185	4373
1	0	B	40000	6700	99.33	98.6366	993300	6934	312	4	0	2572	3926	120	6681
1	0	cSpy was 18 spamed and the readout avoided!
1	1	G	40000	1000000	0	0	0	0	0	0	0	0	0	0	2
1	1	A	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
1	1	B	40000	1000000	0	0	0	0	0	0	0	0	0	0	1
