#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
3	2	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
3	2	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
3	2	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
3	3	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
3	3	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
3	3	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
3	4	G	40000	3792	62.08	26.055	6208	3981	0	0	0	3809	172	0	3982
3	4	A	40000	5005	49.95	30.67	4995	1928	0	0	0	1862	66	0	1928
3	4	B	40000	5803	41.97	21.44	4197	2053	0	0	0	1947	106	0	2054
3	5	G	40000	17	99.83	98.645	9983	151	2	0	0	30	79	40	120
3	5	A	40000	69	99.31	98.6	9931	71	0	0	0	3	66	2	69
3	5	B	40000	51	99.49	98.69	9949	80	2	0	0	27	13	38	51
3	5	cSpy was 26 spamed and the readout avoided!
3	6	G	40000	9926	0.739998	0.26	74	84	0	0	0	84	0	0	86
3	6	A	40000	9926	0.739998	0.29	74	45	0	0	0	45	0	0	46
3	6	B	40000	9938	0.620002	0.23	62	39	0	0	0	39	0	0	40
3	7	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
3	7	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
3	7	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
4	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
4	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	2	G	40000	1	99.99	99.615	9999	46	1	0	0	16	4	25	31
4	2	A	40000	29	99.71	99.27	9971	44	1	0	0	16	3	24	29
4	2	B	40000	2	99.98	99.96	9998	2	0	0	0	0	1	1	2
4	3	G	40000	38	99.62	97.545	9962	256	20	0	0	142	58	36	231
4	3	A	40000	151	98.49	96.88	9849	161	13	0	0	94	36	18	148
4	3	B	40000	84	99.16	98.21	9916	95	7	0	0	48	22	18	83
4	3	cSpy was 19 spamed and the readout avoided!
4	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
4	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
4	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
4	6	G	40000	1155	88.45	62.37	8845	3036	0	0	0	2892	133	11	3031
4	6	A	40000	2029	79.71	65.3	7971	1441	0	0	0	1382	54	5	1438
4	6	B	40000	2461	75.39	59.44	7539	1595	0	0	0	1510	79	6	1593
4	6	cSpy was 3 spamed and the readout avoided!
4	7	G	40000	993	90.07	75.95	9007	1632	0	0	0	1556	71	5	1630
4	7	A	40000	1409	85.91	78.28	8591	763	0	0	0	742	21	0	763
4	7	B	40000	1769	82.31	73.62	8231	869	0	0	0	814	50	5	867
4	7	cSpy was 30 spamed and the readout avoided!
5	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
5	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
5	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
5	1	G	40000	8012	19.88	6.61	1988	1631	0	0	0	1623	6	2	1633
5	1	A	40000	8413	15.87	7.39	1587	848	0	0	0	846	1	1	849
5	1	B	40000	8634	13.66	5.83	1366	783	0	0	0	777	5	1	784
5	2	G	40000	37	99.63	97.145	9963	291	5	0	0	62	207	17	280
5	2	A	40000	203	97.97	95.93	9797	204	1	0	0	61	141	1	203
5	2	B	40000	77	99.23	98.36	9923	87	4	0	0	1	66	16	77
5	2	cSpy was 20 spamed and the readout avoided!
5	3	G	40000	9445	5.55	0.98	555	914	0	0	0	914	0	0	916
5	3	A	40000	9445	5.55	0.98	555	457	0	0	0	457	0	0	458
5	3	B	40000	9445	5.55	0.98	555	457	0	0	0	457	0	0	458
5	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
5	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
5	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
5	5	G	40000	9781	2.19	0.01	219	436	0	0	0	436	0	0	436
5	5	A	40000	9781	2.19	0.01	219	218	0	0	0	218	0	0	218
5	5	B	40000	9781	2.19	0.01	219	218	0	0	0	218	0	0	218
5	6	G	40000	32	99.68	92.835	9968	726	21	3	0	230	448	24	697
5	6	A	40000	640	93.6	87.11	9360	649	20	3	0	201	416	9	631
5	6	B	40000	67	99.33	98.56	9933	77	1	0	0	29	32	15	66
5	6	cSpy was 13 spamed and the readout avoided!
5	7	G	40000	2191	78.09	52.805	7809	3757	2	0	0	3250	505	0	3757
5	7	A	40000	2865	71.35	52.38	7135	1897	1	0	0	1615	281	0	1897
5	7	B	40000	2817	71.83	53.23	7183	1860	1	0	0	1635	224	0	1860
6	0	G	40000	2123	78.77	64.29	7877	2665	0	0	0	2389	270	6	2663
6	0	A	40000	2223	77.77	64.65	7777	1312	0	0	0	1174	137	1	1312
6	0	B	40000	2254	77.46	63.93	7746	1353	0	0	0	1215	133	5	1351
6	0	cSpy was 2 spamed and the readout avoided!
6	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
6	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
