#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	9647	3.53	0.49	353	608	0	0	0	608	0	0	610
0	0	A	40000	9647	3.53	0.49	353	304	0	0	0	304	0	0	305
0	0	B	40000	9647	3.53	0.49	353	304	0	0	0	304	0	0	305
0	1	G	40000	27	99.73	97.81	9973	248	22	0	0	79	85	62	190
0	1	A	40000	132	98.68	97.05	9868	163	14	0	0	63	55	31	132
0	1	B	40000	58	99.42	98.57	9942	85	8	0	0	16	30	31	58
0	1	cSpy was 20 spamed and the readout avoided!
0	2	G	40000	2159	78.41	39.545	7841	4585	2	0	0	2925	1647	11	4581
0	2	A	40000	3720	62.8	39.37	6280	2343	0	0	0	1388	948	7	2342
0	2	B	40000	3786	62.14	39.72	6214	2242	2	0	0	1537	699	4	2239
0	2	cSpy was 2 spamed and the readout avoided!
0	3	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	3	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	3	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	G	40000	9986	0.139999	0	14	28	0	0	0	28	0	0	30
0	4	A	40000	9986	0.139999	0	14	14	0	0	0	14	0	0	15
0	4	B	40000	9986	0.139999	0	14	14	0	0	0	14	0	0	15
0	5	G	40000	18	99.82	97.88	9982	251	31	0	1	102	41	76	172
0	5	A	40000	124	98.76	97.33	9876	143	18	0	1	75	32	17	123
0	5	B	40000	49	99.51	98.43	9951	108	13	0	0	27	9	59	49
0	5	cSpy was 59 spamed and the readout avoided!
0	6	G	40000	576	94.24	78.205	9424	2142	9	0	0	1986	123	24	2128
0	6	A	40000	962	90.38	81.16	9038	922	3	0	0	860	47	12	915
0	6	B	40000	1255	87.45	75.25	8745	1220	6	0	0	1126	76	12	1213
0	6	cSpy was 8 spamed and the readout avoided!
0	7	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	7	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	7	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	0	G	40000	9960	0.400001	0.19	40	42	0	0	0	42	0	0	44
1	0	A	40000	9960	0.400001	0.19	40	21	0	0	0	21	0	0	22
1	0	B	40000	9960	0.400001	0.19	40	21	0	0	0	21	0	0	22
1	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	2	G	40000	9792	2.08	0	208	416	0	0	0	416	0	0	418
1	2	A	40000	9792	2.08	0	208	208	0	0	0	208	0	0	209
1	2	B	40000	9792	2.08	0	208	208	0	0	0	208	0	0	209
1	3	G	40000	27	99.73	97.74	9973	265	35	0	0	91	68	71	186
1	3	A	40000	133	98.67	97.04	9867	163	22	0	0	72	47	22	132
1	3	B	40000	54	99.46	98.44	9946	102	13	0	0	19	21	49	54
1	3	cSpy was 30 spamed and the readout avoided!
1	4	G	40000	5168	48.32	27.325	4832	4111	0	0	0	4056	43	12	4113
1	4	A	40000	5206	47.94	27.34	4794	2060	0	0	0	2034	20	6	2061
1	4	B	40000	5218	47.82	27.31	4782	2051	0	0	0	2022	23	6	2052
1	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	6	G	40000	9982	0.18	0	18	36	0	0	0	36	0	0	38
1	6	A	40000	9982	0.18	0	18	18	0	0	0	18	0	0	19
1	6	B	40000	9982	0.18	0	18	18	0	0	0	18	0	0	19
1	7	G	40000	10	99.9	98.935	9990	114	6	0	0	28	55	25	99
1	7	A	40000	25	99.75	99.45	9975	30	0	0	0	11	10	9	25
1	7	B	40000	74	99.26	98.42	9926	84	6	0	0	17	45	16	74
1	7	cSpy was 4 spamed and the readout avoided!
2	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	2	G	40000	17	99.83	98.6	9983	168	16	0	0	62	27	63	111
2	2	A	40000	54	99.46	98.64	9946	82	5	0	0	37	9	31	53
2	2	B	40000	58	99.42	98.56	9942	86	11	0	0	25	18	32	58
2	2	cSpy was 34 spamed and the readout avoided!
2	3	G	40000	533	94.67	78.49	9467	2098	8	0	0	1957	118	15	2091
2	3	A	40000	1014	89.86	80.16	8986	970	2	0	0	895	66	7	967
2	3	B	40000	1190	88.1	76.82	8810	1128	6	0	0	1062	52	8	1124
2	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	6	G	40000	0	100	100	10000	20000	20000	20000	20000	20000	20000	20000	20002
2	6	A	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
2	6	B	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
2	7	G	40000	1009	89.91	85.105	8991	839	19	0	0	648	135	37	816
2	7	A	40000	1076	89.24	84.98	8924	426	8	0	0	351	48	19	414
2	7	B	40000	1064	89.36	85.23	8936	413	11	0	0	297	87	18	402
2	7	cSpy was 18 spamed and the readout avoided!
3	0	G	40000	6	99.94	98.93	9994	108	1	0	0	75	22	10	104
3	0	A	40000	13	99.87	99.71	9987	16	0	0	0	3	6	7	13
3	0	B	40000	93	99.07	98.15	9907	92	1	0	0	72	16	3	91
3	1	G	40000	2242	77.58	52.385	7758	3989	14	0	0	3774	170	31	3972
3	1	A	40000	2768	72.32	52.17	7232	2015	8	0	0	1901	90	16	2005
3	1	B	40000	2766	72.34	52.6	7234	1974	6	0	0	1873	80	15	1967
