#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	0	100	99.9875	100000	25	0	0	0	0	0	25	0
0	0	A	40000	0	100	99.999	100000	1	0	0	0	0	0	1	0
0	0	B	40000	0	100	99.976	100000	24	0	0	0	0	0	24	0
0	1	G	40000	0	100	99.9795	100000	41	0	0	0	0	0	41	0
0	1	A	40000	0	100	99.969	100000	31	0	0	0	0	0	31	0
0	1	B	40000	0	100	99.99	100000	10	0	0	0	0	0	10	0
0	1	cSpy was 5 spamed and the readout avoided!
0	2	G	40000	50	99.95	99.945	99950	9	0	0	0	8	0	1	11
0	2	A	40000	50	99.95	99.945	99950	5	0	0	0	4	0	1	6
0	2	B	40000	51	99.949	99.945	99949	4	0	0	0	4	0	0	5
0	3	G	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	3
0	3	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
0	3	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
0	4	G	40000	56	99.944	99.942	99944	2	0	0	0	0	0	2	4
0	4	A	40000	57	99.943	99.942	99943	1	0	0	0	0	0	1	2
0	4	B	40000	57	99.943	99.942	99943	1	0	0	0	0	0	1	2
0	5	G	40000	0	100	99.9895	100000	21	0	0	0	0	0	21	0
0	5	A	40000	0	100	99.99	100000	10	0	0	0	0	0	10	0
0	5	B	40000	0	100	99.989	100000	11	0	0	0	0	0	11	0
0	6	G	40000	21	99.979	99.977	99979	3	0	0	0	2	0	1	5
0	6	A	40000	22	99.978	99.977	99978	1	0	0	0	1	0	0	2
0	6	B	40000	21	99.979	99.977	99979	2	0	0	0	1	0	1	3
0	7	G	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	3
0	7	A	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
0	7	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
1	0	G	40000	0	100	99.9755	100000	12	0	0	0	6	2	4	9
1	0	A	40000	0	100	99.998	100000	2	0	0	0	0	0	2	0
1	0	B	40000	37	99.963	99.953	99963	10	0	0	0	6	2	2	9
1	0	cSpy was 1 spamed and the readout avoided!
1	1	G	40000	54	99.946	99.943	99946	3	0	0	0	0	0	3	5
1	1	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
1	1	B	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	3
1	2	G	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	2
1	2	A	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
1	2	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
1	3	G	40000	8	99.992	99.971	99992	32	0	0	0	12	0	20	18
1	3	A	40000	8	99.992	99.971	99992	21	0	0	0	3	0	18	8
1	3	B	40000	18	99.982	99.971	99982	11	0	0	0	9	0	2	10
1	4	G	40000	36	99.964	99.958	99964	12	0	0	0	10	0	2	14
1	4	A	40000	36	99.964	99.958	99964	6	0	0	0	4	0	2	7
1	4	B	40000	36	99.964	99.958	99964	6	0	0	0	6	0	0	7
1	5	G	40000	55	99.945	99.941	99945	4	0	0	0	0	0	4	6
1	5	A	40000	59	99.941	99.941	99941	0	0	0	0	0	0	0	1
1	5	B	40000	55	99.945	99.941	99945	4	0	0	0	0	0	4	5
1	6	G	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	2
1	6	A	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
1	6	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
1	7	G	40000	51	99.949	99.943	99949	6	0	0	0	0	0	6	8
1	7	A	40000	53	99.947	99.943	99947	4	0	0	0	0	0	4	5
1	7	B	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	3
2	0	G	40000	0	100	99.971	100000	4	0	0	0	1	0	3	4
2	0	A	40000	0	100	99.999	100000	1	0	0	0	0	0	1	0
2	0	B	40000	54	99.946	99.943	99946	3	0	0	0	1	0	2	4
2	1	G	40000	54	99.946	99.943	99946	3	0	0	0	0	0	3	5
2	1	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
2	1	B	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	3
2	2	G	40000	0	100	99.831	100000	338	0	2	0	0	0	336	0
2	2	A	40000	0	100	99.998	100000	2	0	0	0	0	0	2	0
2	2	B	40000	0	100	99.664	100000	336	0	2	0	0	0	334	0
2	3	G	40000	51	99.949	99.948	99949	1	0	0	0	0	0	1	3
2	3	A	40000	52	99.948	99.948	99948	0	0	0	0	0	0	0	1
2	3	B	40000	51	99.949	99.948	99949	1	0	0	0	0	0	1	2
2	4	G	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	3
2	4	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
2	4	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
2	5	G	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	4
2	5	A	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	3
2	5	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
2	6	G	40000	0	100	99.9045	100000	191	0	0	0	0	0	191	0
2	6	A	40000	0	100	99.996	100000	4	0	0	0	0	0	4	0
2	6	B	40000	0	100	99.813	100000	187	0	0	0	0	0	187	0
2	6	cSpy was 1 spamed and the readout avoided!
2	7	G	40000	38	99.962	99.947	99962	22	0	0	0	10	1	11	20
2	7	A	40000	44	99.956	99.942	99956	14	0	0	0	3	1	10	11
2	7	B	40000	40	99.96	99.952	99960	8	0	0	0	7	0	1	9
3	0	G	40000	0	100	99.977	100000	40	0	0	0	2	3	35	6
3	0	A	40000	1	99.999	99.982	99999	17	0	0	0	0	0	17	1
3	0	B	40000	5	99.995	99.972	99995	23	0	0	0	2	3	18	5
3	1	G	40000	18	99.982	99.945	99982	50	0	0	0	11	1	38	15
3	1	A	40000	18	99.982	99.944	99982	38	0	0	0	0	0	38	3
3	1	B	40000	42	99.958	99.946	99958	12	0	0	0	11	1	0	12
3	2	G	40000	54	99.946	99.943	99946	3	0	0	0	0	0	3	5
3	2	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
3	2	B	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	3
3	3	G	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	2
3	3	A	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
3	3	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
3	4	G	40000	52	99.948	99.943	99948	8	0	0	0	6	0	2	9
3	4	A	40000	53	99.947	99.943	99947	4	0	0	0	2	0	2	4
3	4	B	40000	53	99.947	99.943	99947	4	0	0	0	4	0	0	5
3	5	G	40000	35	99.965	99.963	99965	2	0	0	0	0	0	2	4
3	5	A	40000	36	99.964	99.963	99964	1	0	0	0	0	0	1	2
3	5	B	40000	36	99.964	99.963	99964	1	0	0	0	0	0	1	2
3	6	G	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	3
3	6	A	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
3	6	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
3	7	G	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	4
3	7	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
3	7	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
4	0	G	40000	0	100	99.972	100000	16	0	0	0	7	5	4	12
4	0	A	40000	0	100	99.999	100000	1	0	0	0	0	0	1	0
4	0	B	40000	40	99.96	99.945	99960	15	0	0	0	7	5	3	12
4	1	G	40000	55	99.945	99.943	99945	2	0	0	0	0	0	2	4
4	1	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
4	1	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
4	2	G	40000	53	99.947	99.943	99947	4	0	0	0	0	0	4	5
4	2	A	40000	54	99.946	99.943	99946	3	0	0	0	0	0	3	3
4	2	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
4	3	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
