#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 100000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	0	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	0	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	74815	25.185	15.393	25185	14702	74	20	0	14222	382	4	14687
0	2	A	40000	77321	22.679	15.604	22679	7075	17	4	0	7050	0	4	7069
0	2	B	40000	77191	22.809	15.182	22809	7627	57	16	0	7172	382	0	7618
0	2	cSpy was 19 spamed and the readout avoided!
0	3	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	3	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	3	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	94761	5.239	1.103	5239	8258	1	0	0	8257	0	0	8260
0	6	A	40000	94766	5.234	1.106	5234	4128	0	0	0	4128	0	0	4129
0	6	B	40000	94770	5.23	1.1	5230	4130	1	0	0	4129	0	0	4131
0	7	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	7	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
0	7	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	0	G	40000	67441	32.559	29.387	32559	6344	0	0	0	6285	52	7	6346
1	0	A	40000	67441	32.559	29.387	32559	3172	0	0	0	3165	0	7	3173
1	0	B	40000	67441	32.559	29.387	32559	3172	0	0	0	3120	52	0	3173
1	1	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	1	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	1	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	2	G	40000	90300	9.7	9.7	9700	0	0	0	0	0	0	0	2
1	2	A	40000	90300	9.7	9.7	9700	0	0	0	0	0	0	0	1
1	2	B	40000	90300	9.7	9.7	9700	0	0	0	0	0	0	0	1
1	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	99852	0.147998	0	148	296	0	0	0	296	0	0	298
1	4	A	40000	99852	0.147998	0	148	148	0	0	0	148	0	0	149
1	4	B	40000	99852	0.147998	0	148	148	0	0	0	148	0	0	149
1	5	G	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	5	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	5	B	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	6	G	40000	79596	20.404	20.404	20404	0	0	0	0	0	0	0	2
1	6	A	40000	79596	20.404	20.404	20404	0	0	0	0	0	0	0	1
1	6	B	40000	79596	20.404	20.404	20404	0	0	0	0	0	0	0	1
1	7	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	7	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	7	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
2	0	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
2	0	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
