# Portcard              Module                     AOH channel
BPix_BmO_SEC1_PRT1      BPix_BmO_SEC1_LYR2_LDR1H_MOD4    A 8
BPix_BmO_SEC1_PRT1      BPix_BmO_SEC1_LYR2_LDR1H_MOD4    B 10
